car,posx,posy,vitesse,distance,BS,start,end,lifetime,lineid,roadid,Theta,Cdistance,NewLoad
2934,6044.930958,4117.657975,11.927489,784.796546,1,42600,42734,134,3025610,302561,0.319998456,317.7143551,35
3197,6032.834419,4114.77598,11.62363,780.163525,1,42603,42735,132,3025610,302561,0.321522337,313.6385987,43
3875,5523.493093,3993.956815,10.423794,127.132775,1,42603,42729,126,3194030,319403,0.572936946,142.774497,43
3890,6118.278849,4136.722856,1.996891,586.089154,1,42609,42611,2,3025610,302561,0.313698755,344.6761684,43
3902,5527.070492,3994.896294,14.077257,762.462582,1,42615,42727,112,3194030,319403,0.566877068,144.1031209,43
3907,5530.035949,3992.264472,13.482728,764.859719,1,42618,42736,118,3194031,319403,0.546901608,140.3811626,43
3908,5532.87872,3996.421623,13.056838,124.757269,1,42618,42728,110,3194030,319403,0.557503619,146.2602619,43
3890,6010.010682,4115.476447,12.420903,479.96811,1,42619,42677,58,3025612,302561,0.33309962,314.6292087,43
3926,5528.047725,3809.156033,14.293819,97.301013,1,42631,42731,100,3240620,324062,-0.480003786,118.5732753,43
3891,6026.074808,4116.555757,14.457991,494.62355,1,42633,42733,100,3025611,302561,0.327017939,316.1555835,43
3820,6197.372264,3936.948303,12.499731,610.586143,1,42644,42646,2,31952170,3195217,0.052876689,62.15228615,43
3825,6200.680334,3866.21166,9.764061,611.968817,1,42650,42654,4,31952170,3195217,-0.032121576,37.88443374,43
3948,5566.516089,3497.146598,13.021951,1258.020179,1,42652,42718,66,31952150,3195215,-1.103941805,559.8212498,43
3754,6199.862627,3926.269717,12.861214,612.255126,1,42659,42661,2,31952171,3195217,0.039924997,47.050485,43
3995,5530.178665,4303.340225,11.727712,455.219965,1,42676,42690,14,3184410,318441,1.192302986,580.3087114,43
3997,5566.363578,3496.933771,15.898593,1258.23547,1,42677,42693,16,31952150,3195215,-1.104464975,560.1222326,43
3999,5534.170999,4302.962694,11.998578,455.113864,1,42678,42694,16,3184410,318441,1.183608603,579.7748019,43
4004,5527.902237,3689.941703,15.508519,1066.69664,1,42682,42736,54,3256400,325640,-0.900710243,287.1677976,43
4011,5534.928745,3688.755128,14.666192,1067.515593,1,42684,42740,56,3256400,325640,-0.882668677,288.845868,43
3605,6029.893174,4120.854209,15.028518,500.013999,1,42686,42844,158,3025612,302561,0.331075409,322.2345126,43
4016,5533.314743,3689.315801,13.037307,1067.035575,1,42691,42757,66,3256400,325640,-0.886055647,288.0529567,43
3406,6000.278054,4105.848864,3.756252,466.823155,1,42692,42814,122,3025610,302561,0.324244316,301.0137502,43
3562,6024.965532,4112.872342,12.251323,777.265551,1,42692,42814,122,3025610,302561,0.322503366,310.946448,43
4020,5525.317431,3689.865352,12.625084,1066.91919,1,42692,42714,22,3256400,325640,-0.908760681,287.2757742,43
3995,5744.14632,4280.556936,11.264029,499.791143,1,42694,42720,26,3184400,318440,0.799011252,548.0882751,43
3999,5793.83805,4276.109547,10.761091,521.64935,1,42700,42712,12,3184400,318440,0.73146123,541.7987172,43
4051,5536.187344,3688.317916,14.155875,1067.891659,1,42714,42772,58,3256400,325640,-0.880053323,289.4641792,56
3999,5987.504464,4262.67158,12.419674,634.658253,1,42716,42720,4,3184400,318440,0.537295831,522.7945621,56
3485,5612.61003,4309.167029,10.132654,446.567925,1,42719,42769,50,3216000,321600,1.037634814,588.5490566,56
4060,5528.789197,4303.471618,10.546327,455.265173,1,42723,42817,94,3184410,318441,1.19533939,580.4945291,56
4062,5533.856257,3689.12769,12.767031,1067.196345,1,42724,42798,74,3256400,325640,-0.884915109,288.3189858,56
3855,6009.344895,4125.579248,9.223411,757.987924,1,42727,42731,4,3025610,302561,0.347394354,328.9167268,56
3987,6128.992027,3744.618134,10.139756,1146.571791,1,42728,42800,72,3147020,314702,-0.192322091,209.8436473,56
3908,6025.788106,4130.053348,12.579918,500.834297,1,42732,42736,4,3025610,302561,0.345407259,335.2440597,56
4073,5568.53204,3488.63214,11.884203,1266.502516,1,42732,42796,64,31952152,3195215,-1.108439246,571.8625118,56
4074,5569.005506,3500.620544,14.058099,1254.508518,1,42732,42750,18,31952150,3195215,-1.095361692,554.9083483,56
4075,5564.824568,3494.786104,12.541255,390.962065,1,42733,42753,20,31952150,3195215,-1.109728299,563.1594924,56
3475,5611.881555,4304.069042,0.145773,419.693254,1,42738,42762,24,3216000,321600,1.033530717,581.3394143,56
4081,5531.255918,4303.238356,15.564302,422.205757,1,42738,42806,68,3184410,318441,1.189952564,580.1646469,56
4093,5528.009259,3995.142829,13.504268,762.143575,1,42752,42888,136,3194030,319403,0.565323928,144.4517741,56
3754,5887.759852,4317.586477,12.085004,525.726649,1,42757,42761,4,3115200,311520,0.684013487,600.4559542,56
3550,5610.728486,4291.680555,14.24424,407.260606,1,42759,42781,22,1058870,105887,1.022081905,563.8194479,56
4104,5536.002746,3688.382042,16.081347,1067.836406,1,42761,42809,48,3256400,325640,-0.880435511,289.3734913,56
3399,5610.639435,4294.693154,12.94443,410.264239,1,42765,42869,104,1058870,105887,1.0255883,568.0799063,56
4110,5530.82821,3809.349377,12.944886,947.317461,1,42766,42800,34,3240620,324062,-0.472091309,118.2998455,56
4113,5533.195904,3809.16739,14.205018,947.361709,1,42768,42786,18,3240620,324062,-0.4671777,118.557214,56
4118,5529.870972,3809.296776,13.343776,947.427207,1,42771,42791,20,3240620,324062,-0.474724283,118.3742346,56
4119,5528.749408,3689.966727,13.471227,204.127684,1,42773,42835,62,3256400,325640,-0.898092516,287.1324083,56
3648,6063.188791,4125.591626,14.690054,789.246898,1,42775,42893,118,3025611,302561,0.322433871,328.934232,56
3388,6022.384325,4112.138,14.550258,776.421961,1,42778,42892,114,3025610,302561,0.322679343,309.9079316,56
3657,6045.521364,4117.798639,12.636843,512.451912,1,42779,42897,118,3025610,302561,0.31992543,317.9132841,56
3575,6017.611489,4114.208351,8.077072,486.049665,1,42784,42894,110,3025611,302561,0.32773912,312.8358501,56
4132,5527.310922,3689.924236,12.280923,204.597399,1,42790,42862,72,3256400,325640,-0.902543462,287.1924996,56
4135,5534.253922,4302.954853,11.36606,455.112034,1,42793,42813,20,3184410,318441,1.183428493,579.7637131,56
3440,6006.528361,4111.054049,5.93203,474.795077,1,42797,42895,98,3025611,302561,0.328599421,308.3749934,56
3775,6022.935407,4119.150142,12.84127,770.93756,1,42797,42813,16,3025612,302561,0.332012485,319.8245979,56
3610,6050.845858,4119.067198,12.455082,787.123566,1,42799,42899,100,3025610,302561,0.319272402,319.7072974,56
3290,6017.283473,4114.114997,9.889065,771.930991,1,42803,42895,92,3025611,302561,0.327764168,312.7038276,59
4150,5571.347592,3492.561975,13.152514,1262.535055,1,42812,42874,62,31952152,3195215,-1.098934652,566.3048858,59
3408,5925.329513,4263.647957,11.185374,596.56826,1,42814,42832,18,3184400,318440,0.586051199,524.1753677,59
4135,5773.454389,4277.72881,11.224267,512.399286,1,42817,42837,20,3184400,318440,0.757945456,544.0887009,59
4081,5803.291911,4275.35854,11.403494,445.309794,1,42818,42828,10,3184400,318440,0.7196124,540.736633,59
4156,5819.64107,3561.823934,1.207511,1215.64427,1,42818,42862,44,3147020,314702,-0.631655069,468.3536841,59
4157,6019.219107,3725.913307,1.281242,458.690588,1,42818,42832,14,3147020,314702,-0.250788353,236.2962673,59
4158,6116.199278,3747.614125,1.444097,1137.92714,1,42818,42830,12,3147020,314702,-0.191672745,205.6066762,59
4060,5851.98982,4271.903821,10.167042,551.000474,1,42821,42835,14,3184400,318440,0.663210066,535.8509225,59
4164,5528.924175,4303.458854,11.686344,422.749237,1,42823,42929,106,3184410,318441,1.195044188,580.4764781,59
4172,5620.841818,3791.434559,2.39952,98.835182,1,42829,43009,180,3240630,324063,-0.380603888,143.6352241,59
4174,5604.159526,3796.683593,2.160884,958.470023,1,42830,42866,36,3240630,324063,-0.385775352,136.2119691,59
4176,5656.58962,3781.323191,2.049599,976.16046,1,42830,43010,180,3240630,324063,-0.368064505,157.9348579,59
4081,5948.549192,4265.400191,10.654165,523.430919,1,42832,42834,2,3184400,318440,0.569567749,526.6534007,59
4183,5532.636797,3996.35809,12.855259,124.809595,1,42835,42971,136,3194030,319403,0.557883057,146.1704127,59
3408,5675.131459,4284.142568,10.984492,479.034316,1,42836,42924,88,3184400,318440,0.903555616,553.1591245,59
3603,5972.322986,4260.482773,12.449389,626.913943,1,42836,42840,4,3184400,318440,0.545613103,519.6991215,59
3604,5909.140069,4264.738376,13.455126,586.626528,1,42836,42842,6,3184400,318440,0.601055168,525.717453,59
4184,5523.36069,3993.922044,11.582654,127.171265,1,42836,42970,134,3194030,319403,0.573165624,142.7253234,59
4186,5570.61245,3491.535893,15.255789,1263.570379,1,42838,42888,50,31952152,3195215,-1.101425422,567.7559849,59
3764,5918.670147,4264.09649,12.882349,592.445223,1,42842,42858,16,3184400,318440,0.592152906,524.8096891,59
